episode_id,timestamp,scenario_id,flow_id,source,destination,rate_mbps,throughput_mbps,delay_ms,packet_loss,sla_violation_risk,sla_violation,max_link_utilization,max_queue_delay_ms,target_sla_violation_next_step
episode_0019,3,shared_bottleneck,f3,n2,n6,8.0,8.0,22.0,0.0,0.275,False,0.16,1.0,False
episode_0019,4,shared_bottleneck,f3,n2,n6,8.0,8.0,22.0,0.0,0.275,False,0.16,1.0,False
episode_0020,0,shared_bottleneck,f1,n1,n4,15.0,15.0,15.0,0.0,0.0,False,0.0,0.0,True
episode_0020,1,shared_bottleneck,f1,n1,n4,15.0,12.0,57.0,0.06,1.0,True,1.0,41.0,True
episode_0020,2,shared_bottleneck,f1,n1,n4,15.0,12.0,57.0,0.06,1.0,True,1.0,41.0,True
episode_0020,3,shared_bottleneck,f1,n1,n4,15.0,12.0,57.0,0.06,1.0,True,1.0,41.0,True
episode_0020,4,shared_bottleneck,f1,n1,n4,15.0,12.0,57.0,0.06,1.0,True,1.0,41.0,True
episode_0020,0,shared_bottleneck,f2,n1,n4,20.0,20.0,15.0,0.0,0.0,False,0.0,0.0,False
episode_0020,1,shared_bottleneck,f2,n1,n4,20.0,20.0,17.0,0.0,0.2833,False,0.2,1.0,False
episode_0020,2,shared_bottleneck,f2,n1,n4,20.0,20.0,17.0,0.0,0.2833,False,0.2,1.0,False
episode_0020,3,shared_bottleneck,f2,n1,n4,20.0,20.0,17.0,0.0,0.2833,False,0.2,1.0,False
episode_0020,4,shared_bottleneck,f2,n1,n4,20.0,20.0,17.0,0.0,0.2833,False,0.2,1.0,False
episode_0020,0,shared_bottleneck,f3,n2,n6,10.0,10.0,25.0,0.0,0.0,False,0.0,0.0,False
episode_0020,1,shared_bottleneck,f3,n2,n6,10.0,10.0,22.0,0.0,0.275,False,0.2,1.0,False
episode_0020,2,shared_bottleneck,f3,n2,n6,10.0,10.0,22.0,0.0,0.275,False,0.2,1.0,False
episode_0020,3,shared_bottleneck,f3,n2,n6,10.0,10.0,22.0,0.0,0.275,False,0.2,1.0,False
episode_0020,4,shared_bottleneck,f3,n2,n6,10.0,10.0,22.0,0.0,0.275,False,0.2,1.0,False
episode_0021,0,background_surge,f1,n1,n4,18.0,18.0,15.0,0.0,0.0,False,0.0,0.0,False
episode_0021,1,background_surge,f1,n1,n4,18.0,16.2,43.6667,0.02,0.8733,False,0.9,27.6667,False
episode_0021,2,background_surge,f1,n1,n4,18.0,16.2,43.6667,0.02,0.8733,False,0.9,27.6667,False
episode_0021,3,background_surge,f1,n1,n4,18.0,16.2,43.6667,0.02,0.8733,False,0.9,27.6667,False
episode_0021,4,background_surge,f1,n1,n4,18.0,16.2,43.6667,0.02,0.8733,False,0.9,27.6667,False
episode_0021,0,background_surge,f2,n1,n4,25.0,25.0,15.0,0.0,0.0,False,0.0,0.0,False
episode_0021,1,background_surge,f2,n1,n4,25.0,25.0,17.0,0.0,0.2833,False,0.25,1.0,False
episode_0021,2,background_surge,f2,n1,n4,25.0,25.0,17.0,0.0,0.2833,False,0.25,1.0,False
episode_0021,3,background_surge,f2,n1,n4,25.0,25.0,17.0,0.0,0.2833,False,0.25,1.0,False
episode_0021,4,background_surge,f2,n1,n4,25.0,25.0,17.0,0.0,0.2833,False,0.25,1.0,False
